GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
junit-jupiter-basics-web-1,com.web.junitjupiterbasics,JunitJupiterBasicsWeb1Application,8,0,0,0,3,0,2,0,2,0
junit-jupiter-basics-web-1,com.web.junitjupiterbasics.mathutils,MathUtils,0,25,0,0,0,6,0,6,0,6
